Year,World Population,Yearly Change,Density
1951,2543130380,1.75%,17
1952,2590270899,1.85%,17
1953,2640278797,1.93%,18
1954,2691979339,1.96%,18
1955,2746072141,2.01%,18
1956,2801002631,2.00%,19
1957,2857866857,2.03%,19
1958,2916108097,2.04%,20
1959,2970292188,1.86%,20
1960,3019233434,1.65%,20
1961,3068370609,1.63%,21
1962,3126686743,1.90%,21
1963,3195779247,2.21%,21
1964,3267212338,2.24%,22
1965,3337111983,2.14%,22
1966,3406417036,2.08%,23
1967,3475448166,2.03%,23
1968,3546810808,2.05%,24
1969,3620655275,2.08%,24
1970,3695390336,2.06%,25
1971,3770163092,2.02%,25
1972,3844800885,1.98%,26
1973,3920251504,1.96%,26
1974,3995517077,1.92%,27
1975,4069437231,1.85%,27
1976,4142505882,1.80%,28
1977,4215772490,1.77%,28
1978,4289657708,1.75%,29
1979,4365582871,1.77%,29
1980,4444007706,1.80%,30
1981,4524627658,1.81%,30
1982,4607984871,1.84%,31
1983,4691884238,1.82%,32
1984,4775836074,1.79%,32
1985,4861730613,1.80%,33
1986,4950063339,1.82%,33
1987,5040984495,1.84%,34
1988,5132293974,1.81%,34
1989,5223704308,1.78%,35
1990,5316175862,1.77%,36
1991,5406245867,1.69%,36
1992,5492686093,1.60%,37
1993,5577433523,1.54%,37
1994,5660727993,1.49%,38
1995,5743219454,1.46%,39
1996,5825145298,1.43%,39
1997,5906481261,1.40%,40
1998,5987312480,1.37%,40
1999,6067758458,1.34%,41
2000,6148898975,1.34%,41
2001,6230746982,1.33%,42
2002,6312407360,1.31%,42
2003,6393898365,1.29%,43
2004,6475751478,1.28%,43
2005,6558176119,1.27%,44
2006,6641416218,1.27%,45
2007,6725948544,1.27%,45
2008,6811597272,1.27%,46
2009,6898305908,1.27%,46
2010,6985603105,1.27%,47
2011,7073125425,1.25%,47
2012,7161697921,1.25%,48
2013,7250593370,1.24%,49
2014,7339013419,1.22%,49
2015,7426597537,1.19%,50
2016,7513474238,1.17%,50
2017,7599822404,1.15%,51
2018,7683789828,1.10%,52
2019,7764951032,1.06%,52
2020,7840952880,0.98%,53
2021,7909295151,0.87%,53
2022,7975105156,0.83%,54
2023,8045311447,0.88%,54
